GIUDICI, Silvana Myriam;UCR;Cdad. Aut. Bs. As.;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;9;1;1;1;9;1;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1
GODOY, Ruperto Eduardo;FPV;San Juan;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;2
GONZALEZ, Gladys Esther;PRO;Buenos Aires;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;9;1;1;1;2
GONZALEZ, Juan Dante;FPV;Mendoza;0;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2
GONZALEZ, Nancy Susana;FPV;Chubut;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;9;9;2;1;1;1
GRANADOS, Dulce;FPV;Buenos Aires;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;2;1;1;1;2;2;2;2;2;2
GRIBAUDO, Christian Alejandro;PRO;Buenos Aires;1;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2;9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;2;2;2;1
GULLO, Juan Carlos Dante;FPV;Cdad. Aut. Bs. As.;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1
GUZMAN, Olga Elizabeth;OTROS;Neuquén;0;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1
HELLER, Carlos;NEPyS;Cdad. Aut. Bs. As.;0;1;1;1;9;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2
